"to_char","amount"
"2006-03",1
"2007-03",1
"2008-08",1
"2008-09",1
"2009-07",1
"2010-06",1
"2010-12",1
"2012-05",1
"2012-10",1
"2013-03",1
"2013-09",1
"2013-12",1
"2014-01",1
"2014-04",1
"2014-07",1
"2014-08",1
"2014-09",2
"2015-01",1
"2015-02",1
"2015-03",1
"2015-04",2
"2015-06",1
"2015-12",1
"2016-01",1
"2016-03",1
"2016-04",1
"2016-05",2
"2016-06",1
"2016-07",1
"2016-08",1
"2016-09",1
"2017-01",1
"2017-02",1
"2017-03",2
"2017-05",2
"2017-06",3
"2017-07",1
"2017-08",2
"2017-09",1
"2017-10",3
"2017-12",2
"2018-01",2
"2018-02",2
"2018-03",2
"2018-04",2
"2018-05",2
"2018-06",2
"2018-07",2
"2018-08",1
"2018-09",1
"2018-10",1
"2018-11",1
"2018-12",3
"2019-01",1
"2019-02",1
"2019-03",1
"2019-04",1
"2019-05",2
"2019-06",2
"2019-07",1
"2019-08",1
"2019-11",1
"2019-12",2
"2020-01",3
"2020-02",1
"2020-03",2
"2020-04",1
"2020-05",1
"2020-06",3
"2020-07",1
"2020-08",3
"2020-09",1
"2020-10",3
"2020-11",4
"2020-12",3
"2021-01",3
"2021-02",2
"2021-03",4
"2021-04",3
"2021-05",4
"2021-06",4
"2021-08",1
"2021-09",2
"2021-11",3
"2021-12",5
"2022-01",4
"2022-02",4
"2022-03",3
"2022-04",6
"2022-05",5
"2022-06",5
"2022-07",6
"2022-08",6
"2022-09",4
"2022-10",9
"2022-11",9
"2022-12",1
